gamma,delta__0.0,estimated_delta_0.0
0.0,0.0,0.027461743606469736
0.1,0.1,0.15319118123296854
0.2,0.2,0.2605188404871924
0.3,0.3,0.3368878144693813
0.4,0.4,0.4311672499402677
0.5,0.5,0.525200456077817
0.6,0.6,0.6185301546919103
0.7,0.7,0.7250079397902865
0.8,0.8,0.8184649773588613
0.9,0.9,0.9019369826327761
