nu,delta,estimated_delta,delta_deviation,bias,auditor
0.0,-0.005593253880911389,-0.005016176830602118,0.0006065402439381562,0.0005770770503092711,dt
0.18181818181818182,0.1950774415812398,0.15526349222552366,0.0563917523072343,-0.03981394935571614,dt
0.33333333333333337,0.3998718542272531,0.3111824781717756,0.20585930236548458,-0.0886893760554775,dt
0.4615384615384615,0.6134459545253118,0.3940355416818298,0.11747210723302887,-0.219410412843482,dt
0.5714285714285715,0.8417046065062924,0.7822654918598845,0.2065870439207108,-0.05943911464640794,dt
0.6666666666666666,1.0930190347871982,1.198810587100172,0.04177196283832507,0.10579155231297377,dt
0.7499999999999999,1.3807011072389788,1.3698887004697156,0.023462162102909523,-0.010812406769263205,dt
0.8235294117647058,1.7290078015071948,1.4699689260911724,0.08882921555994627,-0.25903887541602244,dt
0.888888888888889,2.1916313234553084,1.9682212956622993,0.01522085238196147,-0.2234100277930091,dt
0.9473684210526316,2.93884572528553,2.68926515374487,0.04373530962399408,-0.24958057154066005,dt
0.0,0.008338393487746874,0.0844621127033033,0.11922610513964339,0.07612371921555643,rf
0.18181818181818182,0.20900908894989806,-0.014919659164900949,0.05989199909108304,-0.22392874811479901,rf
0.33333333333333337,0.41380350159591117,0.14578227942715677,0.028421451925662408,-0.2680212221687544,rf
0.4615384615384615,0.6273776018939701,0.6984725586428179,0.13286872886277257,0.0710949567488478,rf
0.5714285714285715,0.8556362538749507,0.8891642072011281,0.1974405144260365,0.03352795332617742,rf
0.6666666666666666,1.1069506821558563,0.9679494362197344,0.009864477881362244,-0.13900124593612195,rf
0.7499999999999999,1.3946327546076371,1.4803384369640367,0.014794704190005281,0.08570568235639953,rf
0.8235294117647058,1.742939448875853,1.2685875391668786,0.5754403586069332,-0.47435190970897434,rf
0.888888888888889,2.2055629708239666,2.3879973339384986,0.08965163754321748,0.18243436311453198,rf
0.9473684210526316,2.952777372654188,0.0,0.0,-2.952777372654188,rf
0.0,-0.009967164645932575,-0.5507705942664078,0.43901127001743223,-0.5408034296204752,svm_rbf
0.18181818181818182,0.19070353081621885,-0.556259437487516,0.7555018717698079,-0.7469629683037349,svm_rbf
0.33333333333333337,0.395497943462232,0.4364828035678907,0.07357730987852226,0.040984860105658716,svm_rbf
0.4615384615384615,0.6090720437602908,0.721606927438735,0.07827345259100882,0.11253488367844422,svm_rbf
0.5714285714285715,0.8373306957412713,0.7091176345138338,0.32732227049157425,-0.12821306122743747,svm_rbf
0.6666666666666666,1.088645124022177,0.9819014421732033,0.07415123207611041,-0.10674368184897376,svm_rbf
0.7499999999999999,1.3763271964739576,1.37514401703665,0.09583486730158752,-0.0011831794373076132,svm_rbf
0.8235294117647058,1.7246338907421734,1.660683960627027,0.8102165254785444,-0.06394993011514649,svm_rbf
0.888888888888889,2.1872574126902875,2.0137714748161653,0.3063531540218609,-0.17348593787412225,svm_rbf
0.9473684210526316,2.934471814520509,2.755431522820131,0.2354335532208609,-0.17904029170037816,svm_rbf
0.0,-0.004844300130948199,0.013929057507506035,0.013929057507506035,0.018773357638454235,svm_linear
0.18181818181818182,0.19582639533120297,0.019582564963530398,0.012834160692217956,-0.17624383036767258,svm_linear
0.33333333333333337,0.40062080797721616,0.19598456852185261,0.18508951911678564,-0.20463623945536355,svm_linear
0.4615384615384615,0.614194908275275,0.42577207413875107,0.2450391524791311,-0.18842283413652394,svm_linear
0.5714285714285715,0.8424535602562556,0.9486978712127017,0.03582022182882727,0.10624431095644604,svm_linear
0.6666666666666666,1.0937679885371614,1.7283634521675069,0.21299640843599488,0.6345954636303455,svm_linear
0.7499999999999999,1.381450060988942,1.3073678807011824,0.0694680704780718,-0.07408218028775959,svm_linear
0.8235294117647058,1.729756755257158,1.9621027664110224,0.37826866224916156,0.23234601115386444,svm_linear
0.888888888888889,2.1923802772052716,2.3484125663680357,0.27171371015270096,0.15603228916276413,svm_linear
0.9473684210526316,2.9395946790354937,3.156717074818392,0.4416483717547124,0.21712239578289827,svm_linear
