Experiment,gamma,gamma_deviation,tpp,delta
Baseline_LogReg,0.009318161059928316,0.0,1.1011701614831184,1.3750905891948857
Baseline_SVM,,,1.08650874813323,1.2378914779195829
Feldman_LogReg,0.010956294154491095,0.0,0.9845277138176408,1.0858238039133372
Feldman_SVM,0.020708923349837816,0.0,1.0699069773080667,1.1427825134874328
Fairlearn_LR_05,,,1.0318875572446262,1.3759569812545518
Fairlearn_LR_1,0.029725192703593313,0.0,1.0973841233661819,1.5133445820820273
