nu,gamma,estimated_gamma,gamma_deviation,bias,size
0.6666666666666666,0.0025,0.002040086082317842,0.008139772573995578,-0.00045991391768215786,1000
0.6666666666666666,0.005,0.004071878963481065,0.008343096283941151,-0.0009281210365189351,1000
0.6666666666666666,0.0075,0.005344901403962316,0.0075702088867792465,-0.002155098596037684,1000
0.6666666666666666,0.01,0.007916840895554705,0.008774771399131435,-0.0020831591044452955,1000
0.6666666666666666,0.0125,0.010616061444910577,0.008767886940115276,-0.001883938555089424,1000
0.6666666666666666,0.015,0.012640125521294081,0.008461720495159801,-0.0023598744787059183,1000
0.6666666666666666,0.0175,0.014356679544722311,0.009337333342860809,-0.0031433204552776903,1000
0.6666666666666666,0.02,0.015978153761546165,0.007505862631295499,-0.004021846238453836,1000
0.6666666666666666,0.0225,0.018819304939584423,0.008224858985798266,-0.0036806950604155765,1000
0.6666666666666666,0.0025,0.001840318677834757,0.004025966745601559,-0.0006596813221652431,5000
0.6666666666666666,0.005,0.0036387176953587364,0.0044086519558361155,-0.0013612823046412637,5000
0.6666666666666666,0.0075,0.006440444250699103,0.004063440552577472,-0.0010595557493008967,5000
0.6666666666666666,0.01,0.00891348869793079,0.0035649773197312987,-0.00108651130206921,5000
0.6666666666666666,0.0125,0.011091213619328976,0.003608875345584048,-0.0014087863806710246,5000
0.6666666666666666,0.015,0.01260009278373104,0.003997268968305957,-0.002399907216268959,5000
0.6666666666666666,0.0175,0.01606590329940577,0.003808971202403998,-0.0014340967005942312,5000
0.6666666666666666,0.02,0.018087283264718108,0.003896913594679406,-0.0019127167352818927,5000
0.6666666666666666,0.0225,0.021301476921289805,0.0037273303733733327,-0.0011985230787101946,5000
