nu,gamma,estimated_gamma,gamma_deviation,bias,size
0.0,0.0,0.0002891662007534164,0.01374221052400497,0.0002891662007534164,1000
0.18181818181818182,0.005000000000000001,0.003772748552338808,0.014198219458174602,-0.0012272514476611928,1000
0.33333333333333337,0.010000000000000002,0.009585581734400085,0.014611118122835953,-0.0004144182655999168,1000
0.4615384615384615,0.015,0.01132634061042239,0.013819121031072341,-0.003673659389577609,1000
0.5714285714285715,0.020000000000000004,0.01675729632711896,0.013063998274996956,-0.0032427036728810456,1000
0.6666666666666666,0.025,0.02103857570648003,0.013009564017821239,-0.00396142429351997,1000
0.7499999999999999,0.03,0.02598937212541301,0.015193626673141001,-0.004010627874586989,1000
0.8235294117647058,0.034999999999999996,0.031951191650474185,0.014939893091428404,-0.003048808349525811,1000
0.888888888888889,0.04000000000000001,0.0382815965126826,0.01346450764205776,-0.001718403487317409,1000
0.9473684210526316,0.045000000000000005,0.04327814457266407,0.013799622267233667,-0.0017218554273359318,1000
1.0,0.05,0.04747927762341583,0.012876192167254769,-0.0025207223765841696,1000
0.0,0.0,-0.0011742405027683576,0.005250703867105317,-0.0011742405027683576,5000
0.18181818181818182,0.005000000000000001,0.0017875803452764582,0.006903650411535219,-0.003212419654723543,5000
0.33333333333333337,0.010000000000000002,0.00825711530198691,0.007168849457233512,-0.0017428846980130919,5000
0.4615384615384615,0.015,0.013112107287601617,0.00846075977585687,-0.001887892712398382,5000
0.5714285714285715,0.020000000000000004,0.01741532739948094,0.010287456516749872,-0.0025846726005190647,5000
0.6666666666666666,0.025,0.024214124300722385,0.008388698007385759,-0.0007858756992776168,5000
0.7499999999999999,0.03,0.028681483775164454,0.008809632436556539,-0.0013185162248355448,5000
0.8235294117647058,0.034999999999999996,0.03403245467280528,0.00794940223854933,-0.000967545327194716,5000
0.888888888888889,0.04000000000000001,0.040048363841741805,0.007456040419258642,4.8363841741796976e-05,5000
0.9473684210526316,0.045000000000000005,0.045811335543936266,0.006081670086073515,0.0008113355439362605,5000
1.0,0.05,0.05128026653640771,0.005536355966920855,0.001280266536407705,5000
