nu,gamma,estimated_gamma,gamma_deviation,bias,size
0.0,0.0,-0.005615170105530378,0.0034905531012983195,-0.005615170105530378,5000
0.18181818181818182,0.005000000000000001,0.0007007139147362274,0.006681126849947578,-0.004299286085263774,5000
0.33333333333333337,0.010000000000000002,0.003309878391309829,0.0033794887723158883,-0.006690121608690173,5000
0.4615384615384615,0.015,0.008725551621166405,0.0029078789024276496,-0.006274448378833595,5000
0.5714285714285715,0.020000000000000004,0.013892844294636863,0.003984049580365762,-0.006107155705363141,5000
0.6666666666666666,0.025,0.02086934414173919,0.006161282151570427,-0.00413065585826081,5000
0.7499999999999999,0.03,0.025842684329777193,0.0034716118609890425,-0.004157315670222806,5000
0.8235294117647058,0.034999999999999996,0.026863241733876452,0.005981261646528932,-0.008136758266123544,5000
0.888888888888889,0.04000000000000001,0.03846271281746085,0.011630151524719993,-0.0015372871825391557,5000
0.9473684210526316,0.045000000000000005,0.0439663686849862,0.00593099561830708,-0.0010336313150138068,5000
1.0,0.05,0.04652763998489495,0.005233505534148832,-0.00347236001510505,5000
