Experiment,gamma,gamma_deviation,tpp,delta
Baseline_LogReg,0.064527946202563,0.0,1.1011701614831184,1.6191565794894764
Baseline_SVM,0.025550834978382765,0.024912668105274764,1.08650874813323,1.0863030784751513
Feldman_LogReg,0.0,0.0,0.9845277138176408,1.040443859508254
Feldman_SVM,0.022432389203494045,0.0,1.0699069773080667,1.1914185769830365
Fairlearn_LR_05,0.0724071878385262,0.0,1.0318875572446262,1.2265423690784065
Fairlearn_LR_1,0.03031464076633403,0.0,1.0973841233661819,1.4899855480845325
