,delta_adult,delta_sd_adult,tpp_adult,tpp_sd_adult,delta_german,delta_sd_german,tpp_german,tpp_sd_german,delta_crimes,delta_sd_crimes,tpp_crimes,tpp_sd_crimes
feldman_lr,1.239162219306015,0.3462994507196994,0.984756934829478,0.0032703946188193307,1.1006773173428324,0.07592041732068065,1.0212534482802151,0.034367659492963776,4.888980888531753,1.0804126585657532,1.0,0.0
feldman_svm,1.240003294003808,0.2281374150979576,1.0577857565100408,0.0025130424989436226,1.1125635877150764,0.1528845391985728,1.0,0.0,0.6703240704574729,1.0267784760029546,0.3777295128195541,0.06823535545843026
baseline_logreg,1.8345630441726948,0.38524001481092107,1.0835477118151131,0.003464361574962889,1.1515171568197533,0.12138498255008733,1.0668499911721263,0.029842925544925982,4.929216242207772,1.240992470606385,1.0,0.0
fairlearn05,1.4610438061331321,0.16193465278490904,1.028172430278159,0.011739624398469262,1.169995349238322,0.14685790086927883,1.016110411543906,0.048741036703619386,4.3066475339186985,0.2884893685014223,1.0068088773971127,0.00340489324796602
