,delta_adult,delta_sd_adult,tpp_adult,tpp_sd_adult,delta_german,delta_sd_german,tpp_german,tpp_sd_german
feldman_lr,1.2988637050994825,0.4401303588542173,0.9853002994801698,0.0031475176229440014,1.0974654094211902,0.09821490865621833,1.0637706072917488,0.03150653701704116
feldman_svm,1.2213227849733737,0.29270650204250503,1.0586280127972674,0.005058248945544999,1.029720003256891,0.0415249408403863,1.0,0.0
baseline_logreg,1.7461031209980522,0.3136741561674917,1.0821153000679617,0.0037459088644285804,1.0823821027613905,0.089779502884265,1.051123046839677,0.026159043414946875
fairlearn05,1.6161608679561088,0.12857765337692503,1.0340142088613145,0.00991752720468019,1.035696042932885,0.19397614667402588,0.9886476000221004,0.057681652642739174
