,delta_adult,delta_sd_adult,tpp_adult,tpp_sd_adult,delta_german,delta_sd_german,tpp_german,tpp_sd_german,delta_crimes,delta_sd_crimes,tpp_crimes,tpp_sd_crimes
baseline_logreg,1.877333073410839,0.3985856177199992,1.0836549909183475,0.00494351474644183,1.257484209971357,0.14131763348972018,1.0736453352598425,0.036777873806415284,5.755727624525308,3.160068599390062,1.0,0.0
baseline_svm,1.4213436418372558,0.2434480373986747,1.0727394568526196,0.005507713437362285,1.0534788246028326,0.09959282905985181,1.0049825381191027,0.005026630412572152,4.759695599377921,1.5762537100158058,1.2850833659236334,0.2822643744220866
feldman_lr,1.4374476406608916,0.320455983269978,0.9863427141030213,0.005862167693982733,1.095477492785455,0.08259510768682408,1.0368921620920246,0.03156014378576112,5.736742448785107,2.1947763274354197,1.0,0.0
feldman_svm,1.2629650566958528,0.10468070479310664,1.059304586255422,0.002832708081321182,1.0125379554765828,0.06691215541498831,1.0,0.0,1.2931030697782622,0.816218265382845,0.43954728415479083,0.1639410862853409
fairlearn05,1.598090353764989,0.24721869988354553,1.0253974160669403,0.010843091193197948,1.036095118695329,0.2107591338656678,1.0061347804982885,0.060621526543414544,5.242791086668466,0.888093352926536,1.0016806722689076,0.003361344537815114
