nu,alpha,gamma,delta_estimated,delta,step
0,0.4977142857142857,1.0841475075874112,0.8213277140243672,1.0984697355413726,0.01
1,0.4977142857142857,1.0841475075874112,0.8213277140243672,1.0984697355413726,0.01
2,0.4977142857142857,1.0841475075874112,0.8213277140243672,1.0984697355413726,0.01
3,0.4977142857142857,1.0841475075874112,0.8213277140243672,1.0984697355413726,0.01
4,0.4977142857142857,1.0841475075874112,0.8213277140243672,1.0984697355413726,0.01
5,0.4977142857142857,1.0841475075874112,0.8213277140243672,1.0984697355413726,0.01
6,0.3082857142857143,1.2631418583020624,0.8213277140243672,1.0984697355413726,0.01
7,0.2742857142857143,1.4216740374082038,0.8213277140243672,1.0984697355413726,0.01
8,0.24571428571428572,1.605236868394763,0.8213277140243672,1.0984697355413726,0.01
9,0.23342857142857143,1.709464328609176,0.8213277140243672,1.0984697355413726,0.01
10,0.20742857142857143,1.892696287279367,0.8213277140243672,1.0984697355413726,0.01
11,0.18371428571428572,2.154253315623575,0.8213277140243672,1.0984697355413726,0.01
12,0.16685714285714287,2.267888973771327,0.8213277140243672,1.0984697355413726,0.01
13,0.12257142857142857,2.3796439628482973,0.8213277140243672,1.0984697355413726,0.01
0,0.49114285714285716,1.1362340883730517,0.43078291609245434,1.098348647786022,0.025
1,0.49114285714285716,1.1362340883730517,0.43078291609245434,1.098348647786022,0.025
2,0.49114285714285716,1.1362340883730517,0.43078291609245434,1.098348647786022,0.025
3,0.49114285714285716,1.1362340883730517,0.43078291609245434,1.098348647786022,0.025
4,0.31142857142857144,1.4001396928363268,0.43078291609245434,1.098348647786022,0.025
5,0.2842857142857143,1.4771635665007423,0.43078291609245434,1.098348647786022,0.025
6,0.2382857142857143,1.7133362611623482,0.43078291609245434,1.098348647786022,0.025
7,0.21628571428571428,1.7450578317451382,0.43078291609245434,1.098348647786022,0.025
8,0.12514285714285714,2.0342465753424657,0.43078291609245434,1.098348647786022,0.025
0,0.37514285714285717,1.2243291233275615,0.3675607905824837,1.0959120809591243,0.05
1,0.24742857142857144,1.2818211811283406,0.3675607905824837,1.0959120809591243,0.05
2,0.13342857142857142,1.2426594729501577,0.3675607905824837,1.0959120809591243,0.05
