nu,gamma,estimated_gamma,gamma_deviation,bias,balancing,unbalance
0.6666666666666666,0.025,0.04851318989933692,0.0026460498016688317,0.02351318989933692,Uniform,-0.3
0.6666666666666666,0.025,0.042215140331959285,0.0031053538728083993,0.017215140331959283,Uniform,-0.2
0.6666666666666666,0.025,0.033700910915453394,0.0030136368221448215,0.008700910915453393,Uniform,-0.1
0.6666666666666666,0.025,0.024668299220621668,0.0023521301676722437,-0.00033170077937833345,Uniform,0.0
0.6666666666666666,0.025,0.034088037510184084,0.00313822688549781,0.009088037510184083,Uniform,0.1
0.6666666666666666,0.025,0.04552778736499142,0.003304957452955541,0.020527787364991418,Uniform,0.2
0.6666666666666666,0.025,0.054280158815898594,0.0029163781762542957,0.029280158815898592,Uniform,0.3
0.6666666666666666,0.025,0.061651275943809696,0.0026681127153957854,0.036651275943809694,IS,-0.3
0.6666666666666666,0.025,0.05353070592499394,0.003163676844733306,0.02853070592499394,IS,-0.2
0.6666666666666666,0.025,0.04169835466658929,0.0029628114515682386,0.01669835466658929,IS,-0.1
0.6666666666666666,0.025,0.02441033059940494,0.0030155888290631615,-0.0005896694005950616,IS,0.0
0.6666666666666666,0.025,0.04963229058983298,0.0033141496473911105,0.024632290589832975,IS,0.1
0.6666666666666666,0.025,0.08571444874135915,0.010849046452922294,0.06071444874135915,IS,0.2
0.6666666666666666,0.025,0.1113061024114749,0.04904098182554113,0.0863061024114749,IS,0.3
0.6666666666666666,0.025,0.030034579391089257,0.007011824846396448,0.0050345793910892556,MMD_NET,-0.3
0.6666666666666666,0.025,0.027026379913426112,0.00663991392555218,0.002026379913426111,MMD_NET,-0.2
0.6666666666666666,0.025,0.02470224365905003,0.004691181461480114,-0.00029775634094997283,MMD_NET,-0.1
0.6666666666666666,0.025,0.022622575805158644,0.004201880589368261,-0.002377424194841358,MMD_NET,0.0
0.6666666666666666,0.025,0.0278628907468465,0.0038339117844530483,0.0028628907468464977,MMD_NET,0.1
0.6666666666666666,0.025,0.030055583095630962,0.005035857652077848,0.00505558309563096,MMD_NET,0.2
0.6666666666666666,0.025,0.032572792350202405,0.004903484399408274,0.007572792350202404,MMD_NET,0.3
